loss,val_loss,accuracy,val_accuracy
0.1259481768157301,0.00022418930799196255,0.9604586559489332,1.0
0.01329681264504896,5.862308227810566e-06,0.9966014539866422,1.0
0.009597949965226603,2.06197929040406e-06,0.9973402683373722,1.0
0.005549979049333969,0.00012133494599367287,0.998345055854365,1.0
0.01264037486241945,8.261562058486554e-06,0.9969560848749927,1.0
0.004468217373186788,2.6129734346379106e-08,0.9989065547609197,1.0
0.003424025211475747,1.166922559263876e-09,0.9988770021868905,1.0
0.009961989594881022,5.993905652742329e-08,0.9978722146698977,1.0
0.009712078343818766,3.516473087688086e-08,0.9975766889296057,1.0
0.0028785572880323644,0.0,0.9992907382232993,1.0
0.010835061583573943,0.0,0.9980495301140729,1.0
0.003746300324197067,1.5304607943401114e-05,0.9992907382232993,1.0
0.0052423700303903245,1.0753978781477754e-09,0.9989361073349489,1.0
0.003112827464474681,0.0,0.9992020805012116,1.0
0.0032061794497703824,0.0,0.9994089485194161,1.0
0.004873742667498511,0.0,0.9988474496128613,1.0
0.003309217382854552,0.0,0.9993793959453868,1.0
0.007603459809424296,0.0,0.9987883444648029,1.0
0.01735317440372467,0.0,0.9976357940776641,1.0
0.0027001658895864705,0.0,0.9995271588155328,1.0
